Metoda dekodowania,Ilosc bitow w pakiecie,Prawdobodopienstwo zmiany bitu(%),Zmiana wiadomosci(%)
triple,4,0,0.0
triple,4,1,0.03194444444444445
triple,4,3,0.25916666666666666
triple,4,5,0.7229166666666667
triple,4,10,2.756527777777778
triple,4,20,10.414166666666667
triple,4,30,21.615000000000002
triple,4,40,35.16375
triple,4,50,50.04763888888889
triple,8,0,0.0
triple,8,1,0.028888888888888888
triple,8,3,0.26805555555555555
triple,8,5,0.7186111111111111
triple,8,10,2.778611111111111
triple,8,20,10.397222222222222
triple,8,30,21.618055555555554
triple,8,40,35.157361111111115
triple,8,50,50.04402777777778
hamming,4,0,0.0
hamming,4,1,0.08611111111111111
hamming,4,3,0.7465277777777778
hamming,4,5,1.9479166666666665
hamming,4,10,6.647777777777778
hamming,4,20,19.522916666666667
hamming,4,30,32.37236111111111
hamming,4,40,42.118472222222216
hamming,4,50,50.03375
hamming,8,0,0.0
hamming,8,1,0.1563888888888889
hamming,8,3,1.1705555555555556
hamming,8,5,2.8777777777777778
hamming,8,10,8.777916666666668
hamming,8,20,21.495694444444442
hamming,8,30,32.07819444444445
hamming,8,40,41.18888888888889
hamming,8,50,49.98152777777778
salomon,4,0,0.0
salomon,4,1,0.03944444444444444
salomon,4,3,0.7469444444444444
salomon,4,5,2.3448611111111113
salomon,4,10,8.351111111111111
salomon,4,20,19.853194444444444
salomon,4,30,30.01083333333333
salomon,4,40,39.92125
salomon,4,50,49.942638888888894
salomon,8,0,0.0
salomon,8,1,0.05569444444444444
salomon,8,3,0.8756944444444444
salomon,8,5,2.712083333333333
salomon,8,10,8.802916666666667
salomon,8,20,19.860972222222223
salomon,8,30,29.970555555555556
salomon,8,40,39.966944444444444
salomon,8,50,50.091388888888886
